迎える	むかえる	to go out to meet / to receive; to welcome; to greet; to salute; to hail; to reach; to approach; to enter (a phase, era, etc.) / to accept (e.g. as a member of a group or family) / to call for; to summon; to invite / to approach (a certain time, a point in one's life, etc.)
決める	きめる	to decide; to choose; to determine; to make up one's mind; to resolve; to set one's heart on; to settle; to arrange; to set; to appoint; to fix / to clinch (a victory); to decide (the outcome of a match) / to persist in doing; to go through with / to always do; to have made a habit of / to take for granted; to assume / to dress up; to dress to kill; to dress to the nines / to carry out successfully (a move in sports, a pose in dance, etc.); to succeed in doing / to immobilize with a double-arm lock (in sumo, judo, etc.) / to eat or drink something; to take illegal drugs
喧嘩	けんか	quarrel; brawl; fight; squabble; scuffle; argument
見える	みえる	to be seen; to be in sight / to look; to seem; to appear / to come
厳しい	きびしい	severe; strict; rigid; unsparing; relentless / intense (e.g. cold); harsh; tough
お礼	おれい	thanks; gratitude / manners; etiquette / bow / reward; gift / ceremony; ritual
光る	ひかる	to shine; to glitter; to be bright
高等学校	こうとうがっこう	senior high school; high school
今夜	こんや	this evening; tonight
差し上げる	さしあげる	to give; to offer / to lift up; to hold up; to raise
済む	すむ	to finish; to end; to be completed / to merely result in something less severe than expected / to feel at ease / to feel unease or guilt for troubling someone; to be sorry
まいる	参る	to go; to come; to call / to be defeated; to collapse; to die / to be annoyed; to be nonplussed / to be madly in love / to visit (shrine, grave)
残る	のこる	to remain; to be left
